subjects,particle_size,flowrate,parameter,deposition
PD10,19,45,16245,0.999999985
PD13,19,18,6498,0.9748503264
PD13,19,45,16245,1.0000000418
PD01,20,18,7200,0.95222735
PD01,20,45,18000,0.997450325
PD07,20,18,7200,0.825308607
PD07,20,45,18000,0.965927308
PD03,20,18,7200,0.95769019
PD03,20,45,18000,0.997673933
PD02,20,18,7200,1.000000038
PD02,20,45,18000,1
PD08,20,18,7200,0.999999991
PD08,20,45,18000,1
PD20,20,18,7200,1
PD20,20,45,18000,0.999999954
PD21,20,18,7200,0.999738506
PD21,20,45,18000,1.0000000373
PD09,20,18,7200,1.00000001
PD09,20,45,18000,1.000000039
PD19,20,18,7200,0.9856471654
PD19,20,45,18000,0.999999979
PD10,20,18,7200,0.98117127
PD10,20,45,18000,0.999999967
PD13,20,18,7200,0.9842874561
PD13,20,45,18000,1.0000000201
PD01,21,18,7938,0.96949692
PD01,21,45,19845,0.99806166
PD07,21,18,7938,0.865875256
PD07,21,45,19845,0.96670993
PD03,21,18,7938,0.9755359782
PD03,21,45,19845,0.9978716882
PD02,21,18,7938,0.999999966
PD02,21,45,19845,0.9999999744
PD08,21,18,7938,1.0000000272
PD08,21,45,19845,1
PD20,21,18,7938,1.00000003
PD20,21,45,19845,0.999999991
PD21,21,18,7938,0.999596501
PD21,21,45,19845,0.999999963
PD09,21,18,7938,0.99999995
PD09,21,45,19845,1
PD19,21,18,7938,0.9962239313
PD19,21,45,19845,0.999999994
PD10,21,18,7938,0.99277989
PD10,21,45,19845,0.999999992
PD13,21,18,7938,0.9955111964
PD13,21,45,19845,1.0000000028
PD01,22,18,8712,0.98744062
PD01,22,45,21780,0.9988774184
PD07,22,18,8712,0.899223845
PD07,22,45,21780,0.97140367
PD03,22,18,8712,0.983413716
PD03,22,45,21780,0.99807663
PD02,22,18,8712,1.000000029
PD02,22,45,21780,0.9999999893
PD08,22,18,8712,1.0000000023
PD08,22,45,21780,1
PD20,22,18,8712,0.99999996
PD20,22,45,21780,1.000000014
PD21,22,18,8712,0.9997228751
PD21,22,45,21780,0.9999999968
PD09,22,18,8712,0.99999998
PD09,22,45,21780,1
PD19,22,18,8712,0.9985282742
PD19,22,45,21780,1.000000051
PD10,22,18,8712,0.99696129
PD10,22,45,21780,1.000000074
PD13,22,18,8712,0.9980968845
PD13,22,45,21780,0.999999959
PD01,23,18,9522,0.992742079
PD01,23,45,23805,0.99857172
PD07,23,18,9522,0.923219906
PD07,23,45,23805,0.977748403
PD03,23,18,9522,0.9886631722
PD03,23,45,23805,0.9981666538
PD02,23,18,9522,0.999999969
PD02,23,45,23805,1.0000000136
PD08,23,18,9522,1.0000000173
PD08,23,45,23805,1
PD20,23,18,9522,0.99999995
PD20,23,45,23805,1.000000015
PD21,23,18,9522,0.99971425
PD21,23,45,23805,1
PD09,23,18,9522,1
PD09,23,45,23805,1
PD19,23,18,9522,0.9993102002
PD19,23,45,23805,0.999999973
PD10,23,18,9522,0.99571555
PD10,23,45,23805,0.99999999
PD13,23,18,9522,0.9983152217
PD13,23,45,23805,1.0000000373
PD01,24,18,10368,0.994927733
PD01,24,45,25920,0.9992859
PD07,24,18,10368,0.937782117
PD07,24,45,25920,0.9827508852
PD03,24,18,10368,0.9923254417
PD03,24,45,25920,0.9983772152
PD02,24,18,10368,1.000000033
PD02,24,45,25920,1
PD08,24,18,10368,1.0000000373
PD08,24,45,25920,1
PD20,24,18,10368,1
PD20,24,45,25920,0.9999999635
PD21,24,18,10368,0.9998525123
PD21,24,45,25920,1
PD09,24,18,10368,1.000000036
PD09,24,45,25920,0.9999999574
PD19,24,18,10368,0.9994301591
PD19,24,45,25920,0.999999926
PD10,24,18,10368,0.99911081
PD10,24,45,25920,1.00000002
PD13,24,18,10368,0.9970783023
PD13,24,45,25920,0.99999998
PD01,25,18,11250,0.995850204
PD01,25,45,28125,0.9994898249
PD07,25,18,11250,0.9553017727
PD07,25,45,28125,0.9886541953
PD03,25,18,11250,0.9926056759
PD03,25,45,28125,0.99859007
PD02,25,18,11250,0.999999957
PD02,25,45,28125,1
PD08,25,18,11250,1.0000000481
PD08,25,45,28125,1
PD20,25,18,11250,0.99999999
PD20,25,45,28125,0.9999999815
PD21,25,18,11250,0.99969474
PD21,25,45,28125,1
PD09,25,18,11250,1.000000006
PD09,25,45,28125,0.9999999689
PD19,25,18,11250,0.9999999584
PD19,25,45,28125,1.000000083
PD10,25,18,11250,1.00000001
PD10,25,45,28125,1.000000035
PD13,25,18,11250,0.998772491
PD13,25,45,28125,0.999999962
PD01,26,18,12168,0.998004641
PD01,26,45,30420,0.9995918672
PD07,26,18,12168,0.9676762232
PD07,26,45,30420,0.993297693
PD03,26,18,12168,0.99427026
PD03,26,45,30420,0.9980932353
PD02,26,18,12168,1.000000026
PD02,26,45,30420,0.9999999616
PD08,26,18,12168,1.000000014
PD08,26,45,30420,1
PD20,26,18,12168,1.00000004
PD20,26,45,30420,0.9999999546
PD21,26,18,12168,1.0000000146
PD21,26,45,30420,1
PD09,26,18,12168,1.000000045
PD09,26,45,30420,0.9999999738
PD19,26,18,12168,0.9999999801
PD19,26,45,30420,0.999999961
PD10,26,18,12168,1.000000079
PD10,26,45,30420,0.999999986
PD13,26,18,12168,0.999299861
PD13,26,45,30420,0.9999999635
PD01,27,18,13122,0.999096767
PD01,27,45,32805,0.9998979255
PD07,27,18,13122,0.981149121
PD07,27,45,32805,0.995754445
PD03,27,18,13122,0.996977689
PD03,27,45,32805,0.9984290277
PD02,27,18,13122,1.0000000117
PD02,27,45,32805,1
PD08,27,18,13122,1.0000000351
PD08,27,45,32805,1
PD20,27,18,13122,0.99999997
PD20,27,45,32805,1
PD21,27,18,13122,0.999999986
PD21,27,45,32805,1
PD09,27,18,13122,0.999999985
PD09,27,45,32805,0.9999999822
PD19,27,18,13122,0.9998414939
PD19,27,45,32805,0.999999971
PD10,27,18,13122,1.000000008
PD10,27,45,32805,1.000000056
PD13,27,18,13122,0.9998559655
PD13,27,45,32805,0.9999999721
PD01,28,18,14112,0.99988489
PD01,28,45,35280,1.000000047
PD07,28,18,14112,0.9868462685
PD07,28,45,35280,0.996978888
PD03,28,18,14112,0.9998118899
PD03,28,45,35280,0.9985279493
PD02,28,18,14112,0.9999999721
PD02,28,45,35280,0.9999999571
PD08,28,18,14112,0.999999962
PD08,28,45,35280,1
PD20,28,18,14112,1.000000047
PD20,28,45,35280,1
PD21,28,18,14112,0.9999999953
PD21,28,45,35280,1
PD09,28,18,14112,0.999999988
PD09,28,45,35280,1
PD19,28,18,14112,1.0000000126
PD19,28,45,35280,1.000000014
PD10,28,18,14112,1.000000074
PD10,28,45,35280,0.999999966
PD13,28,18,14112,0.9994060451
PD13,28,45,35280,0.9999999861
PD01,29,18,15138,0.9998826108
PD01,29,45,37845,1.000000005
PD07,29,18,15138,0.9965853751
PD07,29,45,37845,0.99835508
PD03,29,18,15138,0.9998
PD03,29,45,37845,0.999128299
PD02,29,18,15138,1
PD02,29,45,37845,1
PD08,29,18,15138,0.9999999944
PD08,29,45,37845,1
PD20,29,18,15138,0.999999963
PD20,29,45,37845,1
PD21,29,18,15138,0.99981915
PD21,29,45,37845,1
PD09,29,18,15138,1.000000001
PD09,29,45,37845,1
PD19,29,18,15138,0.999828745
PD19,29,45,37845,1.000000022
PD10,29,18,15138,1.000000027
PD10,29,45,37845,0.999999984
PD13,29,18,15138,0.999539676
PD13,29,45,37845,0.9999999809
PD01,30,18,16200,0.999999961
PD01,30,45,40500,1
PD07,30,18,16200,0.9977977568
PD07,30,45,40500,0.9992870765
